id,price,lon,lat,precio metro,planta,construccion,metros,habitaciones,baths,terraza,ascensor,aire,exacta,garaje,piscina,zonas verdes,trastero,armarios,buen estado,reformar,obra nueva,exterior,balcon,chalet,atico,duplex,estudio,piso,calle,distrito
28008022,185000,-3.6910864,40.4013183,4512,3,1900,41,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"Piso en venta en calle General Lacy, 46",arganzuela
84479468,610000,-3.686509,40.385441,4357,6,1992,140,4,2,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,"Piso en venta en calle Puerto de la Cruz Verde, Madrid",arganzuela
87232208,460000,-3.688019,40.391073,4509,6,,102,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,Ático en venta en Legazpi,arganzuela
87242063,398000,-3.7053399,40.4049362,3790,2,1973,105,4,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de las Peñuelas,arganzuela
87368380,615333,-3.72116,40.40805,4770,,,129,3,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,"Piso en venta en paseo de la Virgen del Puerto, 51",arganzuela
87368783,419143,-3.72116,40.40805,5239,,,80,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,"Ático en venta en paseo de la Virgen del Puerto, 51",arganzuela
87368859,429149,-3.72116,40.40805,4990,,,86,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,"Ático en venta en paseo de la Virgen del Puerto, 51",arganzuela
87626050,580000,-3.70451,40.40603,4566,4,1998,127,3,2,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en Acacias,arganzuela
87766499,249000,-3.6887117,40.3898628,4527,1,2005,55,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,"Piso en venta en calle de Sodio, 19",arganzuela
87839831,197000,-3.7010259,40.3967132,3648,2,,54,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,Piso en venta en paseo Santa Maria de la Cabeza,arganzuela
87969252,379000,-3.6800622,40.3911153,3353,1,2008,113,2,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle Eros,arganzuela
88540083,848292,-3.72116,40.40805,5110,,,166,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,"Ático en venta en paseo de la Virgen del Puerto, 51",arganzuela
88910598,470000,-3.6899668,40.3865685,3700,2,1995,127,3,2,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en avenida DEL PLANETARIO,arganzuela
88923371,475000,-3.6893328,40.3899086,3392,4,2006,140,3,2,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,"Piso en venta en calle del Litio, 3",arganzuela
89009917,780000,-3.7192981,40.4149631,4875,8,1964,160,4,2,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en paseo de la Virgen del Puerto,arganzuela
89457732,309000,-3.7200203,40.4019695,6306,1,,49,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en calle San Epifanio, 9",arganzuela
89678860,159000,-3.7193803,40.4064575,4676,0,1990,34,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,"Estudio en venta en calle de Cobos de Segovia, 6",arganzuela
89681024,230000,-3.7058633,40.4038447,3150,1,1962,73,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en Acacias,arganzuela
89732233,399000,-3.7199169,40.4123137,4290,4,1966,93,3,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en Imperial,arganzuela
89754985,299000,-3.7022842,40.40256,5339,6,1970,56,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en EMBAJADORE,arganzuela
89809437,319000,-3.7212513,40.4144503,3222,1,1935,99,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en JUAN DUQUE,arganzuela
89899632,585000,-3.684089,40.3943588,4431,1,2009,132,3,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,"Piso en venta en calle de las Nebulosas, 2",arganzuela
90033712,161000,-3.7008356,40.3978348,3577,1,,45,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle Arquitectura,arganzuela
90051105,335000,-3.69922,40.3971623,3350,2,1958,100,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Piso en venta en calle de Jaime el Conquistador,arganzuela
90183202,343671,-3.72116,40.40805,5129,,,67,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,"Piso en venta en paseo de la Virgen del Puerto, 51",arganzuela
90183235,326354,-3.72116,40.40805,6043,,,54,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,"Piso en venta en paseo de la Virgen del Puerto, 51",arganzuela
90286854,348400,-3.7,40.40133,5200,6,,67,2,2,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,"Piso en venta en glorieta Santa María de la Cabeza, 14",arganzuela
90404346,265000,-3.69575,40.39671,3785,4,1950,70,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Miguel Arredondo,arganzuela
90466385,159000,-3.7011083,40.3971816,3613,1,,44,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en paseo de Santa María de la Cabeza,arganzuela
90531279,445000,-3.691883,40.3889087,4494,,,99,2,2,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en calle Embajadores, 226",arganzuela
90531281,665000,-3.691883,40.3889087,4962,,,134,4,2,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en calle Embajadores, 226",arganzuela
90531283,530000,-3.691883,40.3889087,4416,,,120,3,2,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en calle Embajadores, 226",arganzuela
90554296,1050000,-3.683289,40.3956588,5737,6,2009,183,3,2,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,Ático en venta en calle Nebulosas,arganzuela
90723092,220000,-3.6925808,40.4043862,4888,4,,45,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en Palos de Moguer,arganzuela
90723476,1150000,-3.69587,40.38687,5502,18,2019,209,4,3,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en Legazpi,arganzuela
90729845,440000,-3.7077882,40.3975912,3606,2,1975,122,4,2,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de las Naves,arganzuela
90805332,189000,-3.7008326,40.3974059,4295,2,1940,44,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,Piso en venta en calle Arquitectura,arganzuela
90821816,355000,-3.7138231,40.4058651,4277,3,,83,2,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Leonor de la Vega,arganzuela
90861267,251500,-3.7202428,40.4128137,3493,0,1969,72,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Piso en venta en calle de Manzanares, 22",arganzuela
90886296,399000,-3.7003893,40.4036008,4200,1,1965,95,3,2,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Martín de Vargas,arganzuela
90966672,299000,-3.6954242,40.3926024,3517,2,1920,85,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Piso en venta en calle de Embajadores,arganzuela
90976756,180000,-3.6929659,40.4018154,3600,1,,50,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle del Áncora,arganzuela
91041497,647000,-3.7200203,40.4019695,5529,2,,117,3,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en calle San Epifanio, 9",arganzuela
91104478,570000,-3.7075221,40.4024768,4318,1,2000,132,3,2,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en paseo de las Acacias,arganzuela
91162963,595000,-3.711271,40.405033,4440,4,1970,134,4,2,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Toledo,arganzuela
91207353,280000,-3.6940131,40.4061912,3111,5,,90,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle de Vizcaya,arganzuela
91228633,699000,-3.7135261,40.4086888,5139,2,1999,136,3,2,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en ronda de Segovia,arganzuela
91240987,325000,-3.6907106,40.3926932,4513,5,,72,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en Legazpi,arganzuela
91340393,492000,-3.6926142,40.4055337,4169,4,1978,118,3,2,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,"Piso en venta en pasaje Tortosa, 8",arganzuela
91419889,1260000,-3.6944929,40.3857253,6300,17,2019,200,4,3,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle Teresa López Valcárcel,arganzuela
91447923,670000,-3.6932945,40.405036,6442,,1962,104,3,2,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,"Ático en venta en paseo de las Delicias, 21",arganzuela
91540791,465000,-3.7217385,40.4100422,3419,3,1959,136,5,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,Piso en venta en calle de Linneo,arganzuela
91609216,470000,-3.6969887,40.3999495,2781,3,1956,169,4,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Piso en venta en calle GENERAL PALANCA,arganzuela
91628296,470000,-3.6943453,40.4079507,4519,5,1900,104,4,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,Piso en venta en paseo de Santa María de la Cabeza,arganzuela
91661648,319000,-3.7178513,40.4113503,3222,1,1935,99,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Juan Duque,arganzuela
91691130,519700,-3.7166143,40.4066537,4767,,,109,2,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en paseo Imperial , 39",arganzuela
91691155,599700,-3.7166143,40.4066537,4956,,,121,3,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en paseo Imperial , 39",arganzuela
91691186,579700,-3.7166143,40.4066537,5222,,,111,2,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en paseo Imperial , 39",arganzuela
91694945,172000,-3.6963003,40.4045289,4300,,,40,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Piso en venta en paseo de Santa María de la Cabeza, 34",arganzuela
91851583,140000,-3.7176929,40.4099827,3684,1,1925,38,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en Imperial,arganzuela
91874772,465000,-3.7213235,40.4141767,4043,1,1964,115,3,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en paseo de la Virgen del Puerto,arganzuela
91879666,159500,-3.6938851,40.3994107,2953,3,1935,54,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle de Ciudad Real,arganzuela
91946056,439000,-3.6957195,40.3936273,3884,2,1955,113,3,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en paseo de las Delicias,arganzuela
92027287,480000,-3.7064598,40.4027841,4067,1,2004,118,3,2,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en paseo de las Acacias,arganzuela
92043010,515000,-3.7034704,40.4029736,3931,6,1956,131,3,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Embajadores,arganzuela
92139553,265000,-3.69775,40.39571,3785,4,1950,70,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Miguel Arredondo,arganzuela
92200751,340000,-3.6959573,40.405035,3863,4,1989,88,2,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Palos de la Frontera,arganzuela
92231548,422000,-3.7166071,40.4080435,5084,4,1997,83,2,2,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle Jemenuño,arganzuela
92242349,359000,-3.6944619,40.3934452,2243,3,1948,160,6,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Piso en venta en plaza BEATA MARIA ANA DE JESUS,arganzuela
92328195,265000,-3.69715,40.39541,3680,4,1950,72,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Miguel Arredondo,arganzuela
92361642,189000,-3.6967105,40.4007399,4021,1,1903,47,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Piso en venta en calle del Ferrocarril, 25",arganzuela
92394775,389900,-3.69081,40.4031916,3678,2,1960,106,3,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle de Rafael de Riego,arganzuela
92537641,199900,-3.6961991,40.3932605,3771,2,,53,2,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Guillermo de Osma,arganzuela
92605611,230000,-3.6953299,40.395578,4600,1,,50,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en paseo de las Delicias,arganzuela
92680800,137000,-3.7050738,40.4029234,3702,2,,37,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en paseo de las Acacias,arganzuela
92690198,649000,-3.6996831,40.4034004,3565,2,1938,182,3,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en Palos de Moguer,arganzuela
92710158,160000,-3.7031098,40.399408,4000,1,,40,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"Piso en venta en paseo de la Esperanza, 41",arganzuela
92712091,169500,-3.7024031,40.4020518,4134,1,,41,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en paseo de la Esperanza,arganzuela
92716734,265000,-3.69645,40.39521,3785,4,1950,70,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Miguel Arredondo,arganzuela
92717167,340000,-3.7038852,40.399246,3541,2,1966,96,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,Piso en venta en paseo de Santa María de la Cabeza,arganzuela
92717869,260000,-3.6967515,40.3973229,3823,2,1965,68,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Piso en venta en calle Embajadores,arganzuela
92742742,240000,-3.689615,40.388328,4705,2,2005,51,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Sodio,arganzuela
92744129,520000,-3.6847436,40.384756,3768,4,1992,138,4,2,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle Puerto de la Cruz Verde,arganzuela
92759461,169000,-3.6924604,40.4008542,3448,4,1930,49,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle del Áncora,arganzuela
92779589,365000,-3.6963381,40.3972115,2829,2,1957,129,4,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Piso en venta en paseo de las Delicias,arganzuela
92782490,155000,-3.7176772,40.4094234,3875,1,1935,40,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en Imperial,arganzuela
92817181,224000,-3.6990477,40.3967691,3111,1,1960,72,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle Aldea del Fresno,arganzuela
92829599,360000,-3.6959153,40.4039281,3913,2,1925,92,4,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,"Piso en venta en calle de la Batalla del Salado, 4",arganzuela
92887234,369000,-3.7039605,40.3992613,4392,2,,84,3,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en Acacias,arganzuela
92909112,439000,-3.7094538,40.4009229,3784,6,1980,116,2,2,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en paseo de las Yeserías,arganzuela
92963577,170000,-3.6995047,40.3969435,3400,0,1936,50,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Jaime el Conquistador,arganzuela
93062884,485000,-3.700648,40.4033262,3391,2,1969,143,4,2,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en ronda de Valencia,arganzuela
93071457,430000,-3.6943641,40.4071281,4300,1,,100,3,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,"Piso en venta en ronda de Atocha, 3",arganzuela
93081075,739000,-3.6955062,40.3892173,3227,5,2001,229,3,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,Ático en venta en calle Teresa López Valcárcel,arganzuela
93098025,340000,-3.6942195,40.4043765,3908,1,,87,2,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,"Piso en venta en calle de las Delicias, 13",arganzuela
93117373,189000,-3.6924953,40.4022763,3048,1,,62,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle de las Delicias,arganzuela
93163562,375000,-3.6940427,40.4025007,4032,3,1940,93,2,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de la Batalla del Salado,arganzuela
93176167,189000,-3.6914953,40.4024763,3375,1,1925,56,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Piso en venta en calle de las Delicias,arganzuela
93182398,290000,-3.699838,40.40574,3972,3,,73,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,Piso en venta en calle de Alonso del Barco,arganzuela
93184530,435000,-3.6928448,40.4072656,2861,3,1960,152,4,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en paseo de las Delicias,arganzuela
93185965,193500,-3.6958735,40.3940854,3394,3,1932,57,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en paseo de las Delicias,arganzuela
93190317,238000,-3.6941924,40.3967668,3449,1,1960,69,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,Piso en venta en calle Cáceres,arganzuela
93191406,240000,-3.7034789,40.4039771,4800,5,,50,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle del Laurel,arganzuela
93191627,431800,-3.6793412,40.3936547,4643,1,,93,2,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,"Piso en venta en calle Ariel, 4",arganzuela
93201458,478000,-3.6954371,40.3936093,3918,5,1970,122,4,2,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Piso en venta en calle de Alonso Carbonell,arganzuela
93203384,392000,-3.694454,40.3955492,4000,7,,98,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Ático en venta en paseo de las Delicias,arganzuela
93207891,465000,-3.7210385,40.4118422,3419,3,1959,136,5,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Linneo,arganzuela
93208064,289900,-3.7180884,40.4129726,4752,2,,61,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle de Segovia,arganzuela
93241450,250000,-3.7014804,40.4056212,4237,4,1930,59,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Piso en venta en calle de Martín de Vargas,arganzuela
93242619,390000,-3.6882679,40.3860494,4756,3,,82,2,2,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en avenida del Planetario,arganzuela
93244010,269000,-3.6939107,40.3968143,4409,2,1930,61,2,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"Piso en venta en paseo de las Delicias, 81",arganzuela
93302473,317000,-3.6975291,40.3960587,4402,1,,72,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en calle Aldea del Fresno, 10",arganzuela
93302521,288000,-3.6975291,40.3960587,5236,1,,55,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,"Piso en venta en calle Aldea del Fresno, 10",arganzuela
93302565,315000,-3.6975291,40.3960587,5163,2,,61,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,"Piso en venta en calle Aldea del Fresno, 10",arganzuela
93302596,325000,-3.6975291,40.3960587,4276,0,,76,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,"Piso en venta en calle Aldea del Fresno, 10",arganzuela
93302616,475000,-3.6930927,40.4046698,3518,1,1959,135,3,2,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,"Piso en venta en paseo de las Delicias, 27",arganzuela
93302862,339000,-3.6975291,40.3960587,4185,1,,81,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,"Piso en venta en calle Aldea del Fresno, 10",arganzuela
93302889,347000,-3.6975291,40.3960587,4626,1,,75,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,"Dúplex en venta en calle Aldea del Fresno, 10",arganzuela
93330783,435000,-3.6949486,40.4021963,4350,1,,100,3,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de las Delicias,arganzuela
93331107,199999,-3.6949396,40.404585,4878,2,1935,41,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Piso en venta en calle de las Delicias,arganzuela
93345250,345000,-3.696088,40.3962517,3876,1,1960,89,3,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Piso en venta en calle de Tomás Borrás,arganzuela
